Category,Phecode,ICD10,Description
ICD10 Certain infectious and parasitic diseases,8,A066,Intestinal infection
ICD10 Certain infectious and parasitic diseases,8,A06,Intestinal infection
ICD10 Certain infectious and parasitic diseases,8,A012,Intestinal infection
ICD10 Certain infectious and parasitic diseases,8,A062,Intestinal infection
ICD10 Certain infectious and parasitic diseases,8,A01,Intestinal infection
ICD10 Certain infectious and parasitic diseases,8,A060,Intestinal infection
ICD10 Certain infectious and parasitic diseases,8,A063,Intestinal infection
ICD10 Certain infectious and parasitic diseases,8,A065,Intestinal infection
ICD10 Certain infectious and parasitic diseases,8,A064,Intestinal infection
ICD10 Certain infectious and parasitic diseases,8,A059,Intestinal infection
ICD10 Certain infectious and parasitic diseases,8,A068,Intestinal infection
ICD10 Certain infectious and parasitic diseases,8,A013,Intestinal infection
ICD10 Certain infectious and parasitic diseases,8,A014,Intestinal infection
ICD10 Certain infectious and parasitic diseases,8,A213,Intestinal infection
ICD10 Certain infectious and parasitic diseases,8,A009,Intestinal infection
ICD10 Certain infectious and parasitic diseases,8,A001,Intestinal infection
ICD10 Certain infectious and parasitic diseases,8,A000,Intestinal infection
ICD10 Certain infectious and parasitic diseases,8,A222,Intestinal infection
ICD10 Certain infectious and parasitic diseases,8,A079,Intestinal infection
ICD10 Certain infectious and parasitic diseases,8,A00,Intestinal infection
ICD10 Certain infectious and parasitic diseases,8,A011,Intestinal infection
ICD10 Certain infectious and parasitic diseases,8,A07,Intestinal infection
ICD10 Certain infectious and parasitic diseases,8,A069,Intestinal infection
ICD10 Certain infectious and parasitic diseases,8,A073,Intestinal infection
ICD10 Certain infectious and parasitic diseases,8,A09,Intestinal infection
ICD10 Certain infectious and parasitic diseases,8,A067,Intestinal infection
ICD10 Certain infectious and parasitic diseases,8.5,A028,Bacterial enteritis
ICD10 Certain infectious and parasitic diseases,8.5,A039,Bacterial enteritis
ICD10 Certain infectious and parasitic diseases,8.5,A029,Bacterial enteritis
ICD10 Certain infectious and parasitic diseases,8.5,A045,Bacterial enteritis
ICD10 Certain infectious and parasitic diseases,8.5,A031,Bacterial enteritis
ICD10 Certain infectious and parasitic diseases,8.5,A022,Bacterial enteritis
ICD10 Certain infectious and parasitic diseases,8.5,A033,Bacterial enteritis
ICD10 Certain infectious and parasitic diseases,8.5,A03,Bacterial enteritis
ICD10 Certain infectious and parasitic diseases,8.5,A051,Bacterial enteritis
ICD10 Certain infectious and parasitic diseases,8.5,A038,Bacterial enteritis
ICD10 Certain infectious and parasitic diseases,8.5,A02,Bacterial enteritis
ICD10 Certain infectious and parasitic diseases,8.5,A010,Bacterial enteritis
ICD10 Certain infectious and parasitic diseases,8.5,A032,Bacterial enteritis
ICD10 Certain infectious and parasitic diseases,8.5,A050,Bacterial enteritis
ICD10 Certain infectious and parasitic diseases,8.5,A020,Bacterial enteritis
ICD10 Certain infectious and parasitic diseases,8.5,A030,Bacterial enteritis
ICD10 Certain infectious and parasitic diseases,8.5,A053,Bacterial enteritis
ICD10 Certain infectious and parasitic diseases,8.5,A054,Bacterial enteritis
ICD10 Certain infectious and parasitic diseases,8.5,A049,Bacterial enteritis
ICD10 Certain infectious and parasitic diseases,8.5,A046,Bacterial enteritis
ICD10 Certain infectious and parasitic diseases,8.5,A058,Bacterial enteritis
ICD10 Certain infectious and parasitic diseases,8.5,A048,Bacterial enteritis
ICD10 Certain infectious and parasitic diseases,8.5,A052,Bacterial enteritis
ICD10 Certain infectious and parasitic diseases,8.52,A047,Intestinal infection due to C. difficile
ICD10 Certain infectious and parasitic diseases,8.6,A080,Viral Enteritis
ICD10 Certain infectious and parasitic diseases,8.6,A082,Viral Enteritis
ICD10 Certain infectious and parasitic diseases,8.6,A085,Viral Enteritis
ICD10 Certain infectious and parasitic diseases,8.6,A08,Viral Enteritis
ICD10 Certain infectious and parasitic diseases,8.6,A083,Viral Enteritis
ICD10 Certain infectious and parasitic diseases,8.6,A084,Viral Enteritis
ICD10 Certain infectious and parasitic diseases,8.6,A081,Viral Enteritis
ICD10 Certain infectious and parasitic diseases,8.7,A072,Intestinal infection due to protozoa
ICD10 Certain infectious and parasitic diseases,8.7,A078,Intestinal infection due to protozoa
ICD10 Certain infectious and parasitic diseases,8.7,A061,Intestinal infection due to protozoa
ICD10 Certain infectious and parasitic diseases,8.7,A071,Intestinal infection due to protozoa
ICD10 Certain infectious and parasitic diseases,8.7,A070,Intestinal infection due to protozoa
ICD10 Certain infectious and parasitic diseases,10,A16,Tuberculosis
