Category,Category,FiedID,Phenotype,Path
Physical measures,100019,46,Hand grip strength (left),Assessment centre > Physical measures > Hand grip strength
Physical measures,100019,47,Hand grip strength (right),Assessment centre > Physical measures > Hand grip strength
Physical measures,100010,48,Waist circumference,Assessment centre > Physical measures > Anthropometry > Body size measures
Physical measures,100010,49,Hip circumference,Assessment centre > Physical measures > Anthropometry > Body size measures
Physical measures,100010,50,Standing height,Assessment centre > Physical measures > Anthropometry > Body size measures
Physical measures,100010,51,Seated height,Assessment centre > Physical measures > Anthropometry > Body size measures
Physical measures,100011,95,Pulse rate (during blood-pressure measurement),Assessment centre > Physical measures > Blood pressure
Physical measures,100011,96,Time since interview start at which blood pressure screen(s) shown,Assessment centre > Physical measures > Blood pressure
Touchscreen,100054,864,Number of days/week walked 10+ minutes,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,874,Duration of walks,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,884,Number of days/week of moderate physical activity 10+ minutes,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,894,Duration of moderate activity,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,904,Number of days/week of vigorous physical activity 10+ minutes,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,914,Duration of vigorous activity,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,924,Usual walking pace,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,943,Frequency of stair climbing in last 4 weeks,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,971,Frequency of walking for pleasure in last 4 weeks,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,981,Duration walking for pleasure,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,991,Frequency of strenuous sports in last 4 weeks,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
Touchscreen,100054,1001,Duration of strenuous sports,Assessment centre > Touchscreen > Lifestyle and environment > Physical activity
